"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"IMMZCAdministerVaccine","IMMZCAdministerVaccine","","","",0,*,"","","","null {[]} {[]}
","IMMZ.C Administer Vaccine","Data elements for the IMMZ.C Administer Vaccine Data Dictionary.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"IMMZCAdministerVaccine.identifier","IMMZCAdministerVaccine.identifier","","","",1,1,"","","Y","string {[]} {[]}
","unique identifier for the client, according to the policies applicable to each country. There can be more than one unique identifier used to link records (e.g. national ID, health ID, immunization information system ID, medical record ID).","unique identifier for the client, according to the policies applicable to each country. There can be more than one unique identifier used to link records (e.g. national ID, health ID, immunization information system ID, medical record ID).","","","","","","","","","",,,,,"",,,,"IMMZCAdministerVaccine.identifier",1,1,"",""
"IMMZCAdministerVaccine.vaccinationVenue","IMMZCAdministerVaccine.vaccinationVenue","","","",1,1,"","","","code {[]} {[]}
","Vaccination venue","Vaccination venue","","","","","","","","","",,,,,"https://intellisoft-consulting.github.io/igs/ChanjoKe-FHIR-IG/CodeSystem/IMMZ.C#DE1
",,,,"IMMZCAdministerVaccine.vaccinationVenue",1,1,"",""
"IMMZCAdministerVaccine.facility","IMMZCAdministerVaccine.facility","","","",1,1,"","","","code {[]} {[]}
","Facility","Facility","","","","","","","","","",,,,,"https://intellisoft-consulting.github.io/igs/ChanjoKe-FHIR-IG/CodeSystem/IMMZ.C#DE2
",,,,"IMMZCAdministerVaccine.facility",1,1,"",""
"IMMZCAdministerVaccine.outreachSession","IMMZCAdministerVaccine.outreachSession","","","",1,1,"","","","code {[]} {[]}
","Outreach session","Outreach session","","","","","","","","","",,,,,"https://intellisoft-consulting.github.io/igs/ChanjoKe-FHIR-IG/CodeSystem/IMMZ.C#DE3
",,,,"IMMZCAdministerVaccine.outreachSession",1,1,"",""
"IMMZCAdministerVaccine.nameOfFacility","IMMZCAdministerVaccine.nameOfFacility","","","",1,1,"","","","code {[]} {[]}
","Name of facility","Name of facility","","","","","","","","","",,,,,"https://intellisoft-consulting.github.io/igs/ChanjoKe-FHIR-IG/CodeSystem/IMMZ.C#DE4
",,,,"IMMZCAdministerVaccine.nameOfFacility",1,1,"",""
"IMMZCAdministerVaccine.facilityType","IMMZCAdministerVaccine.facilityType","","","",1,1,"","","","code {[]} {[]}
","Facility type","Facility type","","","","","","","","","",,,,,"https://intellisoft-consulting.github.io/igs/ChanjoKe-FHIR-IG/CodeSystem/IMMZ.C#DE5
",,,,"IMMZCAdministerVaccine.facilityType",1,1,"",""
"IMMZCAdministerVaccine.facilityLocation","IMMZCAdministerVaccine.facilityLocation","","","",1,1,"","","Y","string {[]} {[]}
","Facility location","Facility location","","","","","","","","","",,,,,"https://intellisoft-consulting.github.io/igs/ChanjoKe-FHIR-IG/CodeSystem/IMMZ.C#DE6
",,,,"IMMZCAdministerVaccine.facilityLocation",1,1,"",""
"IMMZCAdministerVaccine.facilityId","IMMZCAdministerVaccine.facilityId","","","",1,1,"","","Y","string {[]} {[]}
","Facility ID","Facility ID","","","","","","","","","",,,,,"https://intellisoft-consulting.github.io/igs/ChanjoKe-FHIR-IG/CodeSystem/IMMZ.C#DE7
",,,,"IMMZCAdministerVaccine.facilityId",1,1,"",""
"IMMZCAdministerVaccine.currentVaccineSchedule","IMMZCAdministerVaccine.currentVaccineSchedule","","","",1,1,"","","Y","string {[]} {[]}
","Display client’s current vaccine schedule","Display client’s current vaccine schedule","","","","","","","","","",,,,,"https://intellisoft-consulting.github.io/igs/ChanjoKe-FHIR-IG/CodeSystem/IMMZ.C#DE9
",,,,"IMMZCAdministerVaccine.currentVaccineSchedule",1,1,"",""
"IMMZCAdministerVaccine.bodyWeight","IMMZCAdministerVaccine.bodyWeight","","","",1,1,"","","Y","string {[]} {[]}
","Body weight","Body weight","","","","","","","","","",,,,,"https://intellisoft-consulting.github.io/igs/ChanjoKe-FHIR-IG/CodeSystem/IMMZ.C#DE10
",,,,"IMMZCAdministerVaccine.bodyWeight",1,1,"",""
